,time_period,rainfall,mean_temperature,disease_cases,population,location
131,2011-12,0.0,25.992577552795403,2.0,294803.0,11004
132,2012-01,0.0,25.56113243103025,9.0,294157.0,11004
133,2012-02,0.0,25.254046440124498,37.0,294157.0,11004
134,2012-03,0.0,25.27800369262695,22.0,294157.0,11004
135,2012-04,0.0,26.35048198699955,44.0,294157.0,11004
136,2012-05,0.0,25.363838195800803,18.0,294157.0,11004
137,2012-06,0.0,24.6514225006104,6.0,294157.0,11004
138,2012-07,0.0,24.80473041534425,6.0,294157.0,11004
139,2012-08,0.0,25.92146968841555,1.0,294157.0,11004
140,2012-09,0.0,27.59995937347415,1.0,294157.0,11004
141,2012-10,0.0,27.8270797729492,7.0,294157.0,11004
142,2012-11,0.0,26.6816034317017,14.0,294157.0,11004
143,2012-12,0.0,25.76423263549805,30.0,294157.0,11004
144,2013-01,0.0,26.21109104156495,364.0,315964.0,11004
145,2013-02,0.0,25.93441009521485,307.0,315964.0,11004
146,2013-03,0.0,25.648232460022,207.0,315964.0,11004
147,2013-04,0.0,25.97243309020995,108.0,315964.0,11004
148,2013-05,0.0,25.302751541137702,88.0,315964.0,11004
149,2013-06,0.0,25.3470067977905,35.0,315964.0,11004
150,2013-07,0.0,24.82440471649175,17.0,315964.0,11004
151,2013-08,0.0,24.476616859436,13.0,315964.0,11004
152,2013-09,0.0,26.3943395614624,23.0,315964.0,11004
153,2013-10,0.0,26.6964635848999,25.0,315964.0,11004
154,2013-11,0.0,25.9889678955078,88.0,315964.0,11004
155,2013-12,0.0,26.1441679000855,100.0,315964.0,11004
156,2014-01,0.0,25.220617294311506,55.0,316402.0,11004
157,2014-02,0.0,25.18698501586915,48.0,316402.0,11004
158,2014-03,0.0,25.41208553314205,56.0,316402.0,11004
159,2014-04,0.0,26.623584747314453,40.0,316402.0,11004
160,2014-05,0.0,25.4247922897339,59.0,316402.0,11004
161,2014-06,0.0,25.35894298553465,38.0,316402.0,11004
162,2014-07,0.0,24.722227096557603,22.0,316402.0,11004
163,2014-08,0.0,26.56927490234375,13.0,316402.0,11004
164,2014-09,0.0,28.04396438598635,8.0,316402.0,11004
165,2014-10,0.0,28.06750202178955,21.0,316402.0,11004
166,2014-11,0.0,27.100426673889142,42.0,316402.0,11004
167,2014-12,0.0,26.3583183288574,49.0,316402.0,11004
168,2015-01,0.0,26.066982269287102,32.0,316823.0,11004
169,2015-02,0.0,25.9134292602539,22.0,316823.0,11004
170,2015-03,0.0,25.9292907714844,34.0,316823.0,11004
171,2015-04,0.0,26.4025650024414,26.0,316823.0,11004
172,2015-05,0.0,25.5858535766602,15.0,316823.0,11004
173,2015-06,0.0,25.48290443420415,8.0,316823.0,11004
174,2015-07,0.0,25.5112524032593,5.0,316823.0,11004
175,2015-08,0.0,27.5254507064819,1.0,316823.0,11004
176,2015-09,0.0,28.40800762176515,3.0,316823.0,11004
177,2015-10,0.0,27.72563457489015,7.0,316823.0,11004
178,2015-11,0.0,27.1127834320068,16.0,316823.0,11004
179,2015-12,0.0,26.67616081237795,12.0,316823.0,11004
180,2016-01,0.0,26.8817481994629,245.0,317230.0,11004
181,2016-02,0.0,26.3032712936401,532.0,317230.0,11004
182,2016-03,0.0,25.91364765167235,344.0,317230.0,11004
183,2016-04,0.0,26.61352443695069,175.0,317230.0,11004
184,2016-05,0.0,24.6073703765869,16.0,317230.0,11004
185,2016-06,0.0,23.774790763854952,17.0,317230.0,11004
186,2016-07,0.0,25.51095199584965,19.0,317230.0,11004
187,2016-08,0.0,26.1943778991699,5.0,317230.0,11004
188,2016-09,0.0,25.853312492370648,4.0,317230.0,11004
189,2016-10,0.0,27.6199150085449,5.0,317230.0,11004
190,2016-11,0.0,25.956353187561,22.0,317230.0,11004
191,2016-12,0.0,26.00580883026125,53.0,317230.0,11004
192,2017-01,0.0,25.8834524154663,98.0,317627.0,11004
193,2017-02,0.0,25.87568855285645,128.0,317627.0,11004
194,2017-03,0.0,25.660306930542,76.0,317627.0,11004
195,2017-04,0.0,26.08281803131105,20.0,317627.0,11004
196,2017-05,0.0,25.5786209106445,12.0,317627.0,11004
197,2017-06,0.0,24.9870443344116,8.0,317627.0,11004
198,2017-07,0.0,25.05575847625736,7.0,317627.0,11004
199,2017-08,0.0,26.571120262146003,9.0,317627.0,11004
200,2017-09,0.0,27.00265312194825,7.0,317627.0,11004
201,2017-10,0.0,27.268461227417,3.0,317627.0,11004
202,2017-11,0.0,26.3389749526978,20.0,317627.0,11004
203,2017-12,0.0,25.79006576538085,18.0,317627.0,11004
204,2018-01,0.0,25.38499259948735,11.0,295352.0,11004
205,2018-02,0.0,25.78743171691895,12.0,295352.0,11004
206,2018-03,0.0,25.5430021286011,7.0,295352.0,11004
207,2018-04,0.0,26.35970211029055,8.0,295352.0,11004
208,2018-05,0.0,25.54183769226075,3.0,295352.0,11004
209,2018-06,0.0,23.40554904937745,3.0,295352.0,11004
210,2018-07,0.0,24.95873928070069,4.0,295352.0,11004
211,2018-08,0.0,24.34338760375975,3.0,295352.0,11004
212,2018-09,0.0,26.92254257202145,1.0,295352.0,11004
213,2018-10,0.0,27.551646232605,5.0,295352.0,11004
214,2018-11,0.0,26.11516380310055,0.0,295352.0,11004
215,2018-12,0.0,25.58073234558105,2.0,295352.0,11004
216,2019-01,0.0,25.69470596313475,5.0,294493.0,11004
217,2019-02,0.0,25.9977121353149,6.0,294493.0,11004
